Sableye,Prankster,Keen Eye,Stall
Jirachi,Serene Grace
Togekiss,Serene Grace
Pangoro,Iron Fist
Kyogre,Primordial Sea,Drizzle
Salazzle,Corrosion,Oblivious
Gogoat,Sap Sipper,Grass Pelt
Haxorus,Mold Breaker
Golurk,No Guard,Iron Fist
Ho-Oh,Regenerator
Aromatisse,Aroma Veil
Espeon,Magic Bounce,Synchronize
Breloom,Technician
Carracosta,Solid Rock
Exeggutor,Frisk
Silvally,RKS System
Doublade,No Guard
Glaceon,Ice Body,Snow Cloak
Claydol,Levitate
Weezing,Levitate
Walrein,Thick Fat
Thundurus,Prankster,Defiant,Volt Absorb
Arbok,Shed Skin
Nihilego,Shed Skin,Beast Boost
Grumpig,Thick Fat
Glalie,Inner Focus
Groudon,Drought
Zangoose,Toxic Boost
Ninetales,Snow Warning,Drought
Bellossom,Chlorophyll
Musharna,Synchronize
Rotom,Levitate
Tornadus,Defiant,Regenerator
Raichu,Lightning Rod,Surge Surfer
Zygarde,Aura Break
Politoed,Drizzle
Cinccino,Skill Link,Cute Charm,Technician
Arceus,Multitype
Manectric,Lightning Rod
Solgaleo,Full Metal Body
Mothim,Tinted Lens
Magmortar,Vital Spirit
Victini,Victory Star
Pidgeot,Big Pecks
Vileplume,Effect Spore,Chlorophyll
Purugly,Thick Fat
Feraligatr,Sheer Force
Dragonite,Multiscale
Plusle,Lightning Rod
Charizard,Blaze,Solar Power,Tough Claws
Donphan,Sturdy,Sand Veil
Magcargo,Flame Body
Gourgeist,Frisk,Insomnia
Conkeldurr,Iron Fist,Guts,Sheer Force
Minior,Shields Down
Darkrai,Bad Dreams
Qwilfish,Intimidate
Latios,Levitate
Ambipom,Pickup
Meloetta,Serene Grace
Registeel,Clear Body
Emboar,Reckless,Blaze
Kabutops,Weak Armor,Battle Armor
Lickilicky,Cloud Nine,Own Tempo,Oblivious
Scolipede,Speed Boost,Poison Point,Swarm
Whimsicott,Prankster
Kangaskhan,Scrappy
Excadrill,Mold Breaker
Volcanion,Water Absorb
Clefable,Magic Guard
Lugia,Multiscale
Uxie,Levitate
Flareon,Guts
Rhydon,Lightning Rod
Bisharp,Defiant
Hoopa,Magician
Dodrio,Early Bird,Run Away,Tangled Feet
Landorus,Sheer Force,Intimidate
Cresselia,Levitate
Wormadam,Overcoat
Tapu Lele,Psychic Surge
Manaphy,Hydration
Mudsdale,Stamina,Inner Focus,Thick Fat,Own Tempo,Gluttony
Volcarona,Flame Body,Swarm
Regice,Clear Body,Ice Body
Giratina,Levitate
Sylveon,Cute Charm,Pixilate
Bouffalant,Reckless,Sap Sipper,Soundproof
Deoxys,Pressure
Tyrantrum,Strong Jaw,Rock Head
Persian,Fur Coat,Technician,Rattled
Forretress,Sturdy,Overcoat,Sheer Force
Unfezant,Big Pecks,Super Luck,Rivalry
Arcanine,Intimidate,Flash Fire,Justified
Aegislash,Stance Change
Mienshao,Regenerator
Simisage,Overgrow
Klefki,Prankster
Azumarill,Huge Power
Swellow,Guts,Scrappy
Corsola,Regenerator
Lunala,Shadow Shield
Accelgor,Sticky Hold
Cofagrigus,Mummy
Blacephalon,Beast Boost
Mantine,Water Absorb,Swift Swim,Water Veil
Xerneas,Fairy Aura
Infernape,Blaze
Leavanny,Overcoat
Alomomola,Regenerator
Gligar,Hyper Cutter,Sand Veil,Immunity
Blastoise,Torrent,Rain Dish
Sigilyph,Magic Guard
Sawk,Sturdy,Inner Focus,Mold Breaker
Dewgong,Thick Fat
Absol,Pressure,Super Luck,Justified
Noivern,Infiltrator
Spiritomb,Pressure,Infiltrator
Rapidash,Flash Fire
Floette,Flower Veil
Gumshoos,Stakeout
Hitmonlee,Reckless
Dialga,Pressure
Terrakion,Justified
Talonflame,Gale Wings,Mummy (base: Gale Wings)
Dusknoir,Frisk,Pressure
Sceptile,Overgrow
Incineroar,Intimidate
Zapdos,Pressure,Static
Torterra,Overgrow,Shell Armor
Gyarados,Intimidate
Skuntank,Aftermath
Volbeat,Prankster
Swalot,Sticky Hold,Liquid Ooze,Gluttony
Blaziken,Speed Boost
Suicune,Pressure
Braviary,Defiant
Primarina,Torrent,Liquid Voice
Marshadow,Technician
Hitmontop,Intimidate
Muk,Stench,Sticky Hold,Poison Touch,Gluttony,Power of Alchemy
Galvantula,Compound Eyes
Hawlucha,Unburden
Reuniclus,Magic Guard,Overcoat,Regenerator
Heliolisk,Dry Skin
Milotic,Marvel Scale
Spinda,Own Tempo,Tangled Feet,Contrary
Mawile,Intimidate,Huge Power
Dugtrio,Sand Veil,Arena Trap,Sand Force,Tangling Hair
Pinsir,Moxie,Hyper Cutter,Mold Breaker
Throh,Guts,Inner Focus,Mold Breaker
Celesteela,Beast Boost
Maractus,Water Absorb
Samurott,Torrent
Dedenne,Cheek Pouch,Pickup,Plus
Primeape,Vital Spirit,Anger Point,Defiant
Slowbro,Oblivious,Own Tempo,Regenerator
Porygon-Z,Download
Lunatone,Levitate
Escavalier,Overcoat
Comfey,Triage,Flower Veil,Natural Cure
Hitmonchan,Iron Fist
Vaporeon,Water Absorb
Moltres,Pressure,Flame Body
Farfetch�d,Defiant
Meganium,Overgrow
Gastrodon,Storm Drain
Salamence,Intimidate
Swoobat,Simple
Genesect,Download
Weavile,Pickpocket
Virizion,Justified
Pyroar,Unnerve
Azelf,Levitate
Sawsbuck,Sap Sipper
Lucario,Justified
Cacturne,Water Absorb
Passimian,Defiant
Butterfree,Compound Eyes,Tinted Lens
Archeops,Defeatist
Swampert,Torrent,Damp,Swift Swim
Golisopod,Emergency Exit
Slurpuff,Unburden
Articuno,Pressure
Alakazam,Magic Guard
Dustox,Shield Dust
Necrozma,Prism Armor,Neuroforce
Delibird,Insomnia
Crobat,Infiltrator
Umbreon,Synchronize,Inner Focus
Mewtwo,Unnerve,Pressure
Toxapex,Merciless,Limber,Regenerator
Gardevoir,Trace
Armaldo,Battle Armor
Chimecho,Levitate
Amoonguss,Regenerator
Keldeo,Justified
Delcatty,Wonder Skin
Kricketune,Swarm
Druddigon,Sheer Force
Jellicent,Water Absorb
Audino,Healer,Regenerator,Klutz
Greninja,Protean
Froslass,Cursed Body
Vivillon,Shield Dust,Compound Eyes,Friend Guard
Venomoth,Shield Dust,Tinted Lens,Wonder Skin
Hypno,Insomnia
Lilligant,Own Tempo
Kartana,Beast Boost
Dragalge,Adaptability
,Levitate,Leaf Guard,Contrary,Poison Point,Rivalry,Sheer Force,Pickup,Gluttony,Quick Feet
Vanilluxe,Snow Warning
Miltank,Thick Fat,Scrappy,Sap Sipper
Cloyster,Skill Link
Hydreigon,Levitate
Xurkitree,Beast Boost
Empoleon,Torrent
Sudowoodo,Rock Head
Ribombee,Sweet Veil
Garbodor,Stench,Weak Armor,Aftermath
Aggron,Sturdy,Rock Head,Heavy Metal,Filter
Golem,Magnet Pull,Sturdy,Galvanize
