Knock Off,Dark,Physical,65.0,ItemRemove
Superpower,Fighting,Physical,120.0,User Atk -1,User Def -1
Swords Dance,Normal,Status,0.0,User Atk 2
Ice Beam,Ice,Special,90.0,Opp FRZ Chance
Blaze Kick,Fire,Physical,85.0,Crit Chance,Opp BRN Chance
U-turn,Bug,Physical,70.0,User Switch
Iron Head,Steel,Physical,80.0,Flinch Chance
Energy Ball,Grass,Special,90.0,Opp SpD -1 Chance
Psychic,Psychic,Special,90.0,Opp Spe -1 Chance
Tail Glow,Bug,Status,0.0,User SpA 3
Surf,Water,Special,90.0
Hydro Pump,Water,Special,110.0
Giga Drain,Grass,Special,75.0,DmgHeal 50
Focus Blast,Fighting,Special,120.0,Opp SpD -1 Chance
Stone Edge,Rock,Physical,100.0
Close Combat,Fighting,Physical,120.0,User Atk -1,User Def -1
Earthquake,Ground,Physical,100.0
Taunt,Dark,Status,0.0,Opp Disable Status
Toxic,Poison,Status,0.0,Opp TOX
Leech Life,Bug,Physical,80.0,DmgHeal 50
Moonblast,Fairy,Special,95.0,Opp SpA -1 Chance
Strength Sap,Grass,Status,0.0,Opp Atk -1,User Heal 0
Sleep Powder,Grass,Status,0.0,Opp SLP
Hidden Power Ice,Ice,Special,60.0
Calm Mind,Psychic,Status,0.0,User SpA 1,User SpD 1
Poison Jab,Poison,Physical,80.0,Opp PSN Chance
Sucker Punch,Dark,Physical,70.0,Priority 1
Crunch,Dark,Physical,80.0,Opp Def -1 Chance
Fire Blast,Fire,Special,110.0,Opp BRN Chance
Draco Meteor,Dragon,Special,130.0,User SpA -2
Roost,Flying,Status,0.0,User Heal 50
Psyshock,Psychic,Special,80.0
Stealth Rock,Rock,Status,0.0,field_stones
Wild Charge,Electric,Physical,90.0,Recoil 25
Air Slash,Flying,Special,75.0,Flinch Chance
Heat Wave,Fire,Special,95.0,Opp BRN Chance
Volt Switch,Electric,Special,70.0,User Switch
Signal Beam,Bug,Special,75.0,Opp Confused Chance
Thunderbolt,Electric,Special,90.0,Opp PAR Chance
Toxic Spikes,Poison,Status,0.0,field_poison
Destiny Bond,Ghost,Status,0.0,Opp Heal -100 Chance
Spikes,Ground,Status,0.0,field_spikes
Liquidation,Water,Physical,85.0,Opp Def -1 Chance
Meteor Mash,Steel,Physical,90.0,User Atk 1 Chance
Hammer Arm,Fighting,Physical,100.0,User Spe -1
Zen Headbutt,Psychic,Physical,80.0,Flinch Chance
Nasty Plot,Dark,Status,0.0,User SpA 2
Dark Pulse,Dark,Special,80.0,Flinch Chance
Recover,Normal,Status,0.0,User Heal 50
Sleep Talk,Normal,Status,0.0,User RdmMove
Return,Normal,Physical,102.0
Rest,Psychic,Status,0.0,User Heal 100,Cure User
Will-O-Wisp,Fire,Status,0.0,Opp BRN
Bulk Up,Fighting,Status,0.0,User Atk 1,User Def 1
Aerial Ace,Flying,Physical,60.0,Crit Chance
Hone Claws,Dark,Status,0.0,User Atk 1
Protect,Normal,Status,0.0,Protect
Power Whip,Grass,Physical,120.0
Pain Split,Normal,Status,0.0,PainSplit
Shadow Sneak,Ghost,Physical,40.0,Priority 1
Ice Punch,Ice,Physical,75.0,Opp FRZ Chance
Steam Eruption,Water,Special,110.0,Opp BRN Chance
Sludge Bomb,Poison,Special,90.0,Opp PSN Chance
Seed Flare,Grass,Special,120.0,Opp SpD -2 Chance
Leech Seed,Grass,Status,0.0,LeechSeed
Roar,Normal,Status,0.0,Opp Switch
Lava Plume,Fire,Special,80.0,Opp BRN Chance
Scald,Water,Special,80.0,Opp BRN Chance
Rapid Spin,Normal,Physical,20.0,FieldClr
Hyper Voice,Normal,Special,90.0
Dragon Dance,Dragon,Status,0.0,User Atk 1,User Spe 1
Substitute,Normal,Status,0.0,field_substitute
Blizzard,Ice,Special,110.0,Opp FRZ Chance
Hypnosis,Psychic,Status,0.0,Opp SLP
Agility,Psychic,Status,0.0,User Spe 2
Double-Edge,Normal,Physical,120.0,Recoil 33
Wish,Normal,Status,0.0,User Heal 50
Quiver Dance,Bug,Status,0.0,User SpA 1,User SpD 1,User Spe 1
Hidden Power Ground,Ground,Special,60.0
Flare Blitz,Fire,Physical,120.0,Recoil 33,Opp BRN Chance
Morning Sun,Normal,Status,0.0,User Heal 50
Facade,Normal,Physical,70.0
Quick Attack,Normal,Physical,40.0,Priority 1
Brave Bird,Flying,Physical,120.0,Recoil 33
Drain Punch,Fighting,Physical,75.0,DmgHeal 50
Spiky Shield,Grass,Status,0.0,Protect,ContactDmg
Synthesis,Grass,Status,0.0,User Heal 50
Wood Hammer,Grass,Physical,120.0,Recoil 33
Hidden Power Fire,Fire,Special,60.0
Spore,Grass,Status,0.0,Opp SLP
Clear Smog,Poison,Special,50.0,StatsClr Active
Drill Peck,Flying,Physical,80.0
Drill Run,Ground,Physical,80.0,Crit Chance
Aqua Jet,Water,Physical,40.0,Priority 1
Shell Smash,Normal,Status,0.0,User Atk 2,User Def -1,User SpA 2,User SpD -1,User Spe 2
Belly Drum,Normal,Status,0.0,User Heal -50,User Atk 6
Play Rough,Fairy,Physical,90.0,Opp Atk -1 Chance
Earth Power,Ground,Special,90.0,Opp SpD -1 Chance
Flash Cannon,Steel,Special,80.0,Opp SpD -1 Chance
Trick,Psychic,Status,0.0,Trick
Shadow Ball,Ghost,Special,80.0,Opp SpD -1
Freeze-Dry,Ice,Special,70.0,Opp FRZ Chance
Hurricane,Flying,Special,110.0,Opp Confused Chance
Sweet Kiss,Fairy,Status,0.0,Opp Confused
Rock Blast,Rock,Physical,25.0
Leaf Storm,Grass,Special,130.0,User SpA -2
Sticky Web,Bug,Status,0.0,field_web
Thousand Arrows,Ground,Physical,90.0
Outrage,Dragon,Physical,120.0,User Confused,MoveLck
Rain Dance,Water,Status,0.0,raindance
Waterfall,Water,Physical,80.0,Flinch Chance
Defog,Flying,Status,0.0
Haze,Ice,Status,0.0,StatsClr Active
Gunk Shot,Poison,Physical,120.0,Opp PSN Chance
Hidden Power Psychic,Psychic,Special,60.0
Tri Attack,Normal,Special,80.0,Opp PAR Chance,Opp FRZ Chance,Opp BRN Chance
Discharge,Electric,Special,80.0,Opp PAR Chance
Storm Throw,Fighting,Physical,60.0,Crit
High Jump Kick,Fighting,Physical,130.0,User Heal -50 Chance
Sacred Fire,Fire,Physical,100.0,Opp BRN Chance
Soft-Boiled,Normal,Status,0.0,User Heal 50
Dazzling Gleam,Fairy,Special,80.0
Fake Out,Normal,Physical,40.0,Opp Flinch
Head Smash,Rock,Physical,150.0,Recoil 50
Geomancy,Fairy,Status,0.0,Charge,User SpA 2,User SpD 2,User Spe 2
Grass Knot,Grass,Special,120.0
Yawn,Normal,Status,0.0,Opp SLP Chance
Slack Off,Normal,Status,0.0,User Heal 50
Whirlwind,Normal,Status,0.0,Opp Switch
Boomburst,Normal,Special,140.0
Bug Buzz,Bug,Special,90.0,Opp SpD -1 Chance
Shore Up,Ground,Status,0.0,User Heal 50
Foul Play,Dark,Physical,95.0
Sludge Wave,Poison,Special,95.0,Opp PSN Chance
Reflect,Psychic,Status,0.0,field_reflect
Light Screen,Psychic,Status,0.0,field_screen
Fire Punch,Fire,Physical,75.0,Opp BRN Chance
Sacred Sword,Fighting,Physical,90.0
Icicle Crash,Ice,Physical,85.0,Flinch Chance
Leaf Blade,Grass,Physical,90.0,Crit Chance
Spirit Shackle,Ghost,Physical,80.0
Hidden Power Grass,Grass,Special,60.0
Psycho Boost,Psychic,Special,140.0,User SpA -2
Extreme Speed,Normal,Physical,80.0,Priority 2
Flamethrower,Fire,Special,90.0,Opp BRN Chance
Moonlight,Fairy,Status,0.0,User Heal 50
Explosion,Normal,Physical,250.0,User Heal -100
Solar Beam,Grass,Special,120.0,Charge
Sunny Day,Fire,Status,0.0,sunnyday
Bullet Seed,Grass,Physical,25.0
Tail Slap,Normal,Physical,25.0
Hidden Power Rock,Rock,Special,60.0
Moongeist Beam,Ghost,Special,100.0
Aqua Tail,Water,Physical,90.0
Ice Shard,Ice,Physical,40.0,Priority 1
Circle Throw,Fighting,Physical,60.0,Priority -1,Opp Switch
Pursuit,Dark,Physical,40.0
Thunder Wave,Electric,Status,0.0,Opp PAR
Confuse Ray,Ghost,Status,0.0,Opp Confused
Gear Grind,Steel,Physical,50.0
Shift Gear,Steel,Status,0.0
X-Scissor,Bug,Physical,80.0
Rock Slide,Rock,Physical,75.0
Ancient Power,Rock,Special,60.0,User Atk 1 Chance,User Def 1 Chance,User SpA 1 Chance,User SpD 1 Chance,User Spe 1 Chance
Heavy Slam,Steel,Physical,120.0
Bullet Punch,Steel,Physical,40.0,Priority 1
Flame Charge,Fire,Physical,50.0,User Spe 1
Rock Polish,Rock,Status,0.0,User Spe 2
Acid Spray,Poison,Special,40.0,Opp SpD -2
Water Pulse,Water,Special,60.0,Opp Confused Chance
Fleur Cannon,Fairy,Special,130.0,User SpA -2
Curse,Ghost,Status,0.0,User Atk 1,User Def 1,User Spe -1
Megahorn,Bug,Physical,120.0
Magnet Rise,Electric,Status,0.0,Levitate
Tailwind,Flying,Status,0.0,tailwind
Stun Spore,Grass,Status,0.0,Opp PAR
Body Slam,Normal,Physical,85.0,Opp PAR Chance
Low Kick,Fighting,Physical,80.0,Flinch Chance
Milk Drink,Normal,Status,0.0,User Heal 50
Thunder,Electric,Special,110.0,Opp PAR Chance
Ice Fang,Ice,Physical,65.0,Opp FRZ Chance,Flinch Chance
Heal Bell,Normal,Status,0.0,Cure Team
Infestation,Bug,Special,20.0,Infestation
Encore,Normal,Status,0.0,Encore
Eruption,Fire,Special,150.0
Nuzzle,Electric,Physical,20.0,Opp PAR
Dragon Claw,Dragon,Physical,80.0
Bolt Strike,Electric,Physical,130.0,Opp PAR Chance
Confide,Normal,Status,0.0,Opp SpA -1
Charm,Fairy,Status,0.0,Opp Atk -2
Smart Strike,Steel,Physical,70.0
Seed Bomb,Grass,Physical,80.0
Seismic Toss,Fighting,Physical,0.0,LvlDmg
Sunsteel Strike,Steel,Physical,100.0
Power Gem,Rock,Special,80.0
Acrobatics,Flying,Physical,55.0
Magic Coat,Psychic,Status,0.0,Counter Status
Aromatherapy,Grass,Status,0.0,Cure All
Aura Sphere,Fighting,Special,80.0
Mach Punch,Fighting,Physical,40.0,Priority 1
Rock Tomb,Rock,Physical,60.0,Opp Spe -1
